sep=,
"Time","max","avg","min"
2020-10-03 06:42:00,86,79.5,75
2020-10-03 06:44:00,86,77.8,72
2020-10-03 06:46:00,90,79.0,74
2020-10-03 06:48:00,89,79.3,75
2020-10-03 06:50:00,84,78.7,73
2020-10-03 06:52:00,91,78.8,72
2020-10-03 06:54:00,97,78.9,73
2020-10-03 06:56:00,86,78.9,74
2020-10-03 06:58:00,91,80.6,72
2020-10-03 07:00:00,85,78.3,75
2020-10-03 07:02:00,89,78.5,70
2020-10-03 07:04:00,85,78.8,75
2020-10-03 07:06:00,90,78.8,72
2020-10-03 07:08:00,87,79.7,75
2020-10-03 07:10:00,89,79.3,72
2020-10-03 07:12:00,82,77.9,74
2020-10-03 07:14:00,84,78.3,74
2020-10-03 07:16:00,85,79.3,74
2020-10-03 07:18:00,84,77.9,72
2020-10-03 07:20:00,87,79.4,76
2020-10-03 07:22:00,104,81,73
2020-10-03 07:24:00,89,78.7,72
2020-10-03 07:26:00,87,78.9,70
2020-10-03 07:28:00,88,79.0,70
2020-10-03 07:30:00,94,79.5,74
2020-10-03 07:32:00,91,77.9,72
2020-10-03 07:34:00,92,79.2,74
2020-10-03 07:36:00,86,79.9,74
2020-10-03 07:38:00,94,79.1,75
2020-10-03 07:40:00,89,79.9,75
2020-10-03 07:42:00,94,80,69
2020-10-03 07:44:00,93,78.7,72
2020-10-03 07:46:00,84,78.0,74
2020-10-03 07:48:00,89,78.7,73
2020-10-03 07:50:00,89,80.4,74
2020-10-03 07:52:00,134,80.8,70
2020-10-03 07:54:00,93,79.7,74
2020-10-03 07:56:00,87,79.0,74
2020-10-03 07:58:00,132,82.6,75
2020-10-03 08:00:00,96,79.1,74
2020-10-03 08:02:00,86,79.9,75
2020-10-03 08:04:00,88,80.8,73
2020-10-03 08:06:00,85,78.8,73
2020-10-03 08:08:00,87,79.3,73
2020-10-03 08:10:00,96,82.2,76
2020-10-03 08:12:00,86,78.5,73
2020-10-03 08:14:00,137,80.5,74
2020-10-03 08:16:00,93,80.9,74
2020-10-03 08:18:00,139,81.2,74
2020-10-03 08:20:00,90,80.2,74
2020-10-03 08:22:00,92,79.2,75
2020-10-03 08:24:00,147,82.1,73
2020-10-03 08:26:00,96,80.7,72
2020-10-03 08:28:00,85,77.7,72
2020-10-03 08:30:00,89,79.6,73
2020-10-03 08:32:00,98,79.6,75
2020-10-03 08:34:00,93,79.4,71
2020-10-03 08:36:00,127,80.5,73
2020-10-03 08:38:00,91,78.9,74
2020-10-03 08:40:00,92,79.3,75
2020-10-03 08:42:00,90,79.6,74
2020-10-03 08:44:00,94,79.6,75
2020-10-03 08:46:00,88,79.3,75
2020-10-03 08:48:00,142,81.8,75

